stratum,years,no_of_years,species,percent_change_yr_density,lcl95_d,ucl95_d,f_density_trend,no_of_detections,percent_change_yr_occupancy,lcl95_occ,ucl95_occ,f_occupancy_trend,no_of_points,start_year,end_year,n_years_verify,stratum_name,stratum_short_code,order,d_t,d_n_p,o_t,o_t_p,narrative_single
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,American Coot,-4.8366879020000004,-30.91,22.3,0.68727272699999997,21,-6.177527927,-31.65,19.7,0.724,11,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,-4.84,estimated an uncertain,-6.18,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of -4.84% [95% CL -30.91%, 22.3%, (n=21, f=0.687)] per year and estimated an uncertain median occupancy trend of -6.18% [95% CL -31.65%, 19.7%, (n=11, f=1)] per year from 2013 to 2023"
NE-BCR17-LG: Oglala National Grassland,2013-2023,11,American Crow,-1.771101257,-26.54,31.89,0.61,1,-2.393990301,-25.2,31.33,0.623636364,0,2013,2023,11,Oglala National Grassland,NE-BCR17-LG,1,-1.77,estimated an uncertain,-2.39,estimated an uncertain,"Oglala National Grassland (NE-BCR17-LG) estimated an uncertain median density population trend of -1.77% [95% CL -26.54%, 31.89%, (n=1, f=0.61)] per year and estimated an uncertain median occupancy trend of -2.39% [95% CL -25.2%, 31.33%, (n=0, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,American Crow,-16.156107219999999,-29.55,-0.84,0.98799999999999999,73,-13.0156991,-31.51,11.27,0.874545455,5,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,-16.16,estimated a decreasing,-13.02,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated a decreasing median density population trend of -16.16% [95% CL -29.55%, -0.84%, (n=73, f=0.988)] per year and estimated an uncertain median occupancy trend of -13.02% [95% CL -31.51%, 11.27%, (n=5, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,American Crow,-18.168077749999998,-34.23,0.52,0.98,20,-3.298170156,-26.36,27.13,0.623636364,2,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,-18.17,estimated a decreasing,-3.3,estimated an uncertain,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated a decreasing median density population trend of -18.17% [95% CL -34.23%, 0.52%, (n=20, f=0.98)] per year and estimated an uncertain median occupancy trend of -3.3% [95% CL -26.36%, 27.13%, (n=2, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,American Crow,-17.117053259999999,-31.09,-2.46,0.99199999999999999,68,-10.11970758,-29.23,20.53,0.801818182,3,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,-17.12,estimated a decreasing,-10.12,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated a decreasing median density population trend of -17.12% [95% CL -31.09%, -2.46%, (n=68, f=0.992)] per year and estimated an uncertain median occupancy trend of -10.12% [95% CL -29.23%, 20.53%, (n=3, f=1)] per year from 2013 to 2023"
NE-BCR19-SG: Samuel R. McKelvie National Forest,2013-2023,11,American Crow,-3.2052987960000001,-20.39,21.02,0.63400000000000001,14,4.984339062,-19.87,32.94,0.609090909,3,2013,2023,11,Samuel R. McKelvie National Forest,NE-BCR19-SG,1,-3.21,estimated an uncertain,4.98,estimated an uncertain,"Samuel R. McKelvie National Forest (NE-BCR19-SG) estimated an uncertain median density population trend of -3.21% [95% CL -20.39%, 21.02%, (n=14, f=0.634)] per year and estimated an uncertain median occupancy trend of 4.98% [95% CL -19.87%, 32.94%, (n=3, f=1)] per year from 2013 to 2023"
SD-BCR17-GG: Buffalo Gap National Grassland,2013-2023,11,American Crow,-8.3228101199999998,-23.61,12.52,0.84399999999999997,50,1.886661125,-21.66,30.98,0.529090909,1,2013,2023,11,Buffalo Gap National Grassland,SD-BCR17-GG,1,-8.32,estimated an uncertain,1.89,estimated an uncertain,"Buffalo Gap National Grassland (SD-BCR17-GG) estimated an uncertain median density population trend of -8.32% [95% CL -23.61%, 12.52%, (n=50, f=0.844)] per year and estimated an uncertain median occupancy trend of 1.89% [95% CL -21.66%, 30.98%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR17-LG: Oglala National Grassland,2013-2023,11,American Kestrel,-6.4803925749999998,-22.09,8.09,0.84412955499999998,11,-5.658957136,-19.39,8.62,0.82,12,2013,2023,11,Oglala National Grassland,NE-BCR17-LG,1,-6.48,estimated an uncertain,-5.66,estimated an uncertain,"Oglala National Grassland (NE-BCR17-LG) estimated an uncertain median density population trend of -6.48% [95% CL -22.09%, 8.09%, (n=11, f=0.844)] per year and estimated an uncertain median occupancy trend of -5.66% [95% CL -19.39%, 8.62%, (n=12, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,American Kestrel,10.87145308,-2.85,28.28,0.91902834,44,16.43835224,1.45,33.54,0.982222222,44,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,10.87,estimated a increasing,16.44,estimated a increasing,"Oglala National Grassland (NE-BCR18-GG) estimated a increasing median density population trend of 10.87% [95% CL -2.85%, 28.28%, (n=44, f=0.919)] per year and estimated a increasing median occupancy trend of 16.44% [95% CL 1.45%, 33.54%, (n=44, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,American Kestrel,7.0514758620000002,-6.73,22.59,0.79352226699999995,57,9.983424673,-2.94,25.13,0.924444444,55,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,7.05,estimated an uncertain,9.98,estimated a increasing,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated an uncertain median density population trend of 7.05% [95% CL -6.73%, 22.59%, (n=57, f=0.794)] per year and estimated a increasing median occupancy trend of 9.98% [95% CL -2.94%, 25.13%, (n=55, f=1)] per year from 2013 to 2023"
NE-BCR19-SG: Samuel R. McKelvie National Forest,2013-2023,11,American Kestrel,-2.6062210399999999,-19.75,17.21,0.65789473700000001,1,1.677452994,-14.99,21.59,0.542222222,2,2013,2023,11,Samuel R. McKelvie National Forest,NE-BCR19-SG,1,-2.61,estimated an uncertain,1.68,estimated an uncertain,"Samuel R. McKelvie National Forest (NE-BCR19-SG) estimated an uncertain median density population trend of -2.61% [95% CL -19.75%, 17.21%, (n=1, f=0.658)] per year and estimated an uncertain median occupancy trend of 1.68% [95% CL -14.99%, 21.59%, (n=2, f=1)] per year from 2013 to 2023"
SD-BCR17-GG: Buffalo Gap National Grassland,2013-2023,11,American Kestrel,1.7804808539999999,-13.82,19.6,0.53441295499999997,3,5.68771913,-10.79,23.85,0.706666667,5,2013,2023,11,Buffalo Gap National Grassland,SD-BCR17-GG,1,1.78,estimated an uncertain,5.69,estimated an uncertain,"Buffalo Gap National Grassland (SD-BCR17-GG) estimated an uncertain median density population trend of 1.78% [95% CL -13.82%, 19.6%, (n=3, f=0.534)] per year and estimated an uncertain median occupancy trend of 5.69% [95% CL -10.79%, 23.85%, (n=5, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,American Redstart,-14.7773748,-39.1,18.49,0.84038461499999995,7,-5.895113844,-32.91,28.63,0.646153846,6,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,-14.78,estimated an uncertain,-5.9,estimated an uncertain,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated an uncertain median density population trend of -14.78% [95% CL -39.1%, 18.49%, (n=7, f=0.84)] per year and estimated an uncertain median occupancy trend of -5.9% [95% CL -32.91%, 28.63%, (n=6, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,American Redstart,1.555359267,-26.79,45.68,0.50961538500000003,2,11.26076923,-24.11,56.49,0.703846154,2,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,1.56,estimated an uncertain,11.26,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of 1.56% [95% CL -26.79%, 45.68%, (n=2, f=0.51)] per year and estimated an uncertain median occupancy trend of 11.26% [95% CL -24.11%, 56.49%, (n=2, f=1)] per year from 2013 to 2023"
NE-BCR17-LG: Oglala National Grassland,2013-2023,11,American Robin,2.0236137150000002,-21.91,34.7,0.52500000000000002,1,-2.934977802,-23.47,25.28,0.617870722,0,2013,2023,11,Oglala National Grassland,NE-BCR17-LG,1,2.02,estimated an uncertain,-2.93,estimated an uncertain,"Oglala National Grassland (NE-BCR17-LG) estimated an uncertain median density population trend of 2.02% [95% CL -21.91%, 34.7%, (n=1, f=0.525)] per year and estimated an uncertain median occupancy trend of -2.93% [95% CL -23.47%, 25.28%, (n=0, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,American Robin,-12.164320289999999,-27.98,1.02,0.97499999999999998,48,-18.69296013,-34.5,-2.99,0.996197719,30,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,-12.16,estimated a decreasing,-18.69,estimated a decreasing,"Oglala National Grassland (NE-BCR18-GG) estimated a decreasing median density population trend of -12.16% [95% CL -27.98%, 1.02%, (n=48, f=0.975)] per year and estimated a decreasing median occupancy trend of -18.69% [95% CL -34.5%, -2.99%, (n=30, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,American Robin,-9.0292571969999997,-17.76,-1.05,0.99,107,-15.50177861,-28.47,-4.52,1,64,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,-9.03,estimated a decreasing,-15.5,estimated a decreasing,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated a decreasing median density population trend of -9.03% [95% CL -17.76%, -1.05%, (n=107, f=0.99)] per year and estimated a decreasing median occupancy trend of -15.5% [95% CL -28.47%, -4.52%, (n=64, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,American Robin,-8.0848513729999993,-29.18,15.33,0.79166666699999999,73,-10.6534378,-29.97,10.51,0.859315589,33,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,-8.08,estimated an uncertain,-10.65,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of -8.08% [95% CL -29.18%, 15.33%, (n=73, f=0.792)] per year and estimated an uncertain median occupancy trend of -10.65% [95% CL -29.97%, 10.51%, (n=33, f=1)] per year from 2013 to 2023"
NE-BCR19-SG: Samuel R. McKelvie National Forest,2013-2023,11,American Robin,-0.54021665500000005,-22.98,31.7,0.53,10,-1.928980855,-27.86,23.86,0.570342205,4,2013,2023,11,Samuel R. McKelvie National Forest,NE-BCR19-SG,1,-0.54,estimated an uncertain,-1.93,estimated an uncertain,"Samuel R. McKelvie National Forest (NE-BCR19-SG) estimated an uncertain median density population trend of -0.54% [95% CL -22.98%, 31.7%, (n=10, f=0.53)] per year and estimated an uncertain median occupancy trend of -1.93% [95% CL -27.86%, 23.86%, (n=4, f=1)] per year from 2013 to 2023"
SD-BCR17-GG: Buffalo Gap National Grassland,2013-2023,11,American Wigeon,-5.9596587999999999E-2,-20.15,28.43,0.54042553199999999,2,-2.105142899,-24.68,29.05,0.604444444,1,2013,2023,11,Buffalo Gap National Grassland,SD-BCR17-GG,1,-0.06,estimated an uncertain,-2.11,estimated an uncertain,"Buffalo Gap National Grassland (SD-BCR17-GG) estimated an uncertain median density population trend of -0.06% [95% CL -20.15%, 28.43%, (n=2, f=0.54)] per year and estimated an uncertain median occupancy trend of -2.11% [95% CL -24.68%, 29.05%, (n=1, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,American Wigeon,-8.4584277819999993,-24.64,12,0.83617021300000005,8,-10.02172646,-30.68,7.87,0.862222222,9,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,-8.46,estimated an uncertain,-10.02,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of -8.46% [95% CL -24.64%, 12%, (n=8, f=0.836)] per year and estimated an uncertain median occupancy trend of -10.02% [95% CL -30.68%, 7.87%, (n=9, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,American Three-toed Woodpecker,-3.6312167579999999,-29.56,25.55,0.61764705900000005,2,4.054669385,-21.06,33.58,0.598039216,1,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,-3.63,estimated an uncertain,4.05,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated an uncertain median density population trend of -3.63% [95% CL -29.56%, 25.55%, (n=2, f=0.618)] per year and estimated an uncertain median occupancy trend of 4.05% [95% CL -21.06%, 33.58%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR18-RD: Nebraska National Forest - Pine Ridge,2013-2023,11,American Three-toed Woodpecker,-11.292519329999999,-31.62,15.92,0.84313725500000003,3,-6.063552538,-28.11,17.11,0.705882353,2,2013,2023,11,Nebraska National Forest - Pine Ridge,NE-BCR18-RD,1,-11.29,estimated an uncertain,-6.06,estimated an uncertain,"Nebraska National Forest - Pine Ridge (NE-BCR18-RD) estimated an uncertain median density population trend of -11.29% [95% CL -31.62%, 15.92%, (n=3, f=0.843)] per year and estimated an uncertain median occupancy trend of -6.06% [95% CL -28.11%, 17.11%, (n=2, f=1)] per year from 2013 to 2023"
NE-BCR19-SG: Samuel R. McKelvie National Forest,2013-2023,11,Bald Eagle,3.552927E-3,-28.17,30.29,0.521484375,1,-1.039426819,-27.24,27.45,0.563636364,1,2013,2023,11,Samuel R. McKelvie National Forest,NE-BCR19-SG,1,0,estimated an uncertain,-1.04,estimated an uncertain,"Samuel R. McKelvie National Forest (NE-BCR19-SG) estimated an uncertain median density population trend of 0% [95% CL -28.17%, 30.29%, (n=1, f=0.521)] per year and estimated an uncertain median occupancy trend of -1.04% [95% CL -27.24%, 27.45%, (n=1, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,Bald Eagle,-5.4873418E-2,-23.99,30.83,0.55078125,1,-0.313582075,-26.52,26.8,0.556363636,1,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,-0.05,estimated an uncertain,-0.31,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of -0.05% [95% CL -23.99%, 30.83%, (n=1, f=0.551)] per year and estimated an uncertain median occupancy trend of -0.31% [95% CL -26.52%, 26.8%, (n=1, f=1)] per year from 2013 to 2023"
SD-BCR17-GG: Buffalo Gap National Grassland,2013-2023,11,Baird's Sparrow,-5.0256147430000002,-33.76,35.89,0.60799999999999998,5,0.028311789,-27.27,40.31,0.535,2,2013,2023,11,Buffalo Gap National Grassland,SD-BCR17-GG,1,-5.03,estimated an uncertain,0.03,estimated an uncertain,"Buffalo Gap National Grassland (SD-BCR17-GG) estimated an uncertain median density population trend of -5.03% [95% CL -33.76%, 35.89%, (n=5, f=0.608)] per year and estimated an uncertain median occupancy trend of 0.03% [95% CL -27.27%, 40.31%, (n=2, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Bank Swallow,-2.03572218,-31.45,38.69,0.54858299600000004,4,-0.728489758,-29.91,37.99,0.547272727,1,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,-2.04,estimated an uncertain,-0.73,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated an uncertain median density population trend of -2.04% [95% CL -31.45%, 38.69%, (n=4, f=0.549)] per year and estimated an uncertain median occupancy trend of -0.73% [95% CL -29.91%, 37.99%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Bank Swallow,-0.38765219499999998,-32.82,45.71,0.52226720599999998,1,0.441317804,-31.62,37.09,0.516363636,1,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,-0.39,estimated an uncertain,0.44,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of -0.39% [95% CL -32.82%, 45.71%, (n=1, f=0.522)] per year and estimated an uncertain median occupancy trend of 0.44% [95% CL -31.62%, 37.09%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR19-SG: Samuel R. McKelvie National Forest,2013-2023,11,Bank Swallow,-13.856419949999999,-39.83,15.43,0.85425101199999998,2,-12.84149663,-37.47,20.14,0.8,2,2013,2023,11,Samuel R. McKelvie National Forest,NE-BCR19-SG,1,-13.86,estimated an uncertain,-12.84,estimated an uncertain,"Samuel R. McKelvie National Forest (NE-BCR19-SG) estimated an uncertain median density population trend of -13.86% [95% CL -39.83%, 15.43%, (n=2, f=0.854)] per year and estimated an uncertain median occupancy trend of -12.84% [95% CL -37.47%, 20.14%, (n=2, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,Bank Swallow,-4.066777428,-33.49,30.39,0.63157894699999995,5,0.025931229,-23.94,31.35,0.523636364,5,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,-4.07,estimated an uncertain,0.03,estimated an uncertain,"Fort Pierre National Grassland (SD-BCR17-PG) estimated an uncertain median density population trend of -4.07% [95% CL -33.49%, 30.39%, (n=5, f=0.632)] per year and estimated an uncertain median occupancy trend of 0.03% [95% CL -23.94%, 31.35%, (n=5, f=1)] per year from 2013 to 2023"
NE-BCR19-SG: Samuel R. McKelvie National Forest,2013-2023,11,Baltimore Oriole,0.101501378,-34.09,47.44,0.50909090899999998,1,-1.452864196,-37.15,53.09,0.541818182,1,2013,2023,11,Samuel R. McKelvie National Forest,NE-BCR19-SG,1,0.1,estimated an uncertain,-1.45,estimated an uncertain,"Samuel R. McKelvie National Forest (NE-BCR19-SG) estimated an uncertain median density population trend of 0.1% [95% CL -34.09%, 47.44%, (n=1, f=0.509)] per year and estimated an uncertain median occupancy trend of -1.45% [95% CL -37.15%, 53.09%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR17-LG: Oglala National Grassland,2013-2023,11,Barn Swallow,-0.39358008100000003,-19.61,24.62,0.54444444400000003,12,1.026436273,-19.95,22.68,0.501818182,8,2013,2023,11,Oglala National Grassland,NE-BCR17-LG,1,-0.39,estimated an uncertain,1.03,estimated an uncertain,"Oglala National Grassland (NE-BCR17-LG) estimated an uncertain median density population trend of -0.39% [95% CL -19.61%, 24.62%, (n=12, f=0.544)] per year and estimated an uncertain median occupancy trend of 1.03% [95% CL -19.95%, 22.68%, (n=8, f=1)] per year from 2013 to 2023"
NE-BCR18-GG: Oglala National Grassland,2013-2023,11,Barn Swallow,-3.1314311510000001,-24.02,20.3,0.640740741,2,-1.752262593,-21.62,22.49,0.589090909,1,2013,2023,11,Oglala National Grassland,NE-BCR18-GG,1,-3.13,estimated an uncertain,-1.75,estimated an uncertain,"Oglala National Grassland (NE-BCR18-GG) estimated an uncertain median density population trend of -3.13% [95% CL -24.02%, 20.3%, (n=2, f=0.641)] per year and estimated an uncertain median occupancy trend of -1.75% [95% CL -21.62%, 22.49%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR19-BE: Nebraska National Forest - Bessey District,2013-2023,11,Barn Swallow,-2.239254249,-22.71,21.09,0.62222222199999999,1,-3.531959445,-22.59,17.82,0.66,1,2013,2023,11,Nebraska National Forest - Bessey District,NE-BCR19-BE,1,-2.24,estimated an uncertain,-3.53,estimated an uncertain,"Nebraska National Forest - Bessey District (NE-BCR19-BE) estimated an uncertain median density population trend of -2.24% [95% CL -22.71%, 21.09%, (n=1, f=0.622)] per year and estimated an uncertain median occupancy trend of -3.53% [95% CL -22.59%, 17.82%, (n=1, f=1)] per year from 2013 to 2023"
NE-BCR19-SG: Samuel R. McKelvie National Forest,2013-2023,11,Barn Swallow,-7.8727733469999999,-25.67,7.68,0.84814814800000005,3,-6.45622876,-23.07,12.95,0.783636364,2,2013,2023,11,Samuel R. McKelvie National Forest,NE-BCR19-SG,1,-7.87,estimated an uncertain,-6.46,estimated an uncertain,"Samuel R. McKelvie National Forest (NE-BCR19-SG) estimated an uncertain median density population trend of -7.87% [95% CL -25.67%, 7.68%, (n=3, f=0.848)] per year and estimated an uncertain median occupancy trend of -6.46% [95% CL -23.07%, 12.95%, (n=2, f=1)] per year from 2013 to 2023"
SD-BCR17-GG: Buffalo Gap National Grassland,2013-2023,11,Barn Swallow,2.4986438080000002,-18.71,22.7,0.56666666700000001,21,4.600772101,-13.26,28.58,0.643636364,13,2013,2023,11,Buffalo Gap National Grassland,SD-BCR17-GG,1,2.5,estimated an uncertain,4.6,estimated an uncertain,"Buffalo Gap National Grassland (SD-BCR17-GG) estimated an uncertain median density population trend of 2.5% [95% CL -18.71%, 22.7%, (n=21, f=0.567)] per year and estimated an uncertain median occupancy trend of 4.6% [95% CL -13.26%, 28.58%, (n=13, f=1)] per year from 2013 to 2023"
SD-BCR17-PG: Fort Pierre National Grassland,2013-2023,11,Barn Swallow,-10.95299863,-28.36,2.88,0.95740740700000004,16,-10.39103071,-24.16,5.8,0.925454545,14,2013,2023,11,Fort Pierre National Grassland,SD-BCR17-PG,1,-10.95,estimated a decreasing,-10.39,estimated a decreasing,"Fort Pierre National Grassland (SD-BCR17-PG) estimated a decreasing median density population trend of -10.95% [95% CL -28.36%, 2.88%, (n=16, f=0.957)] per year and estimated a decreasing median occupancy trend of -10.39% [95% CL -24.16%, 5.8%, (n=14, f=1)] per year from 2013 to 2023"
